"","ubigeo_inei","UbigeoMINSA","Vac6Jun","Vac28Jul","Vac18Oct","Poblacion18","departamento","provincia","distrito","SaludIDH","EducacionSIDHE","IngresoIDHE","IDH2019","IVIA","Pobreza","PobrezaExtrema","Avance1","Avance2","Avance3","IDHCategorias","PobrezaCategorias","IVIAnum","IVIACategorias"
"29","010302",29,10,74,269,403,"AMAZONAS","BONGARA","CHISQUILLA",71.5418977985957,77.5176414544379,0.309432513316713,0.474974891206606,"0.51148098707199097",42.24183,22.56179,2.48138957816377,18.3622828784119,66.7493796526055,"Q3","Q2",0.511480987071991,"Q3"
"30","010303",30,16,74,262,348,"AMAZONAS","BONGARA","CHURUJA",64.3844584280216,80.4990892026855,0.371337266017237,0.515913557019013,"0.38845878839492798",20.78695,1.867667,4.59770114942529,21.264367816092,75.2873563218391,"Q4","Q4",0.388458788394928,"Q4"
"31","010304",31,12,80,403,680,"AMAZONAS","BONGARA","COROSHA",73.3036035222919,41.8413345008309,0.257265642542044,0.395898212710819,"0.57077443599700906",54.796368,24.57763,1.76470588235294,11.7647058823529,59.2647058823529,"Q3","Q1",0.570774435997009,"Q3"
"32","010305",32,8,98,387,628,"AMAZONAS","BONGARA","CUISPES",67.5969043834859,37.4414368384584,0.129583764510985,0.299445065686758,"0.63277173042297397",45.831589,12.79052,1.27388535031847,15.6050955414013,61.6242038216561,"Q1","Q2",0.632771730422974,"Q2"
"33","010306",33,69,508,2496,4571,"AMAZONAS","BONGARA","FLORIDA",71.8913374447978,38.107411975501,0.1832272732554,0.359323571197629,"0.49843418598175099",33.682214,6.34247,1.50951651717349,11.1135418945526,54.6051192299278,"Q2","Q3",0.498434185981751,"Q3"
"34","010307",34,208,1039,3718,6052,"AMAZONAS","BONGARA","JAZAN",71.6928793748632,57.6682740728843,0.358795336806527,0.511258094896226,"0.27520889043808",22.712901,13.66821,3.43688037012558,17.16787838731,61.4342366159947,"Q4","Q4",0.27520889043808,"Q5"
"35","010308",35,15,75,231,285,"AMAZONAS","BONGARA","RECTA",68.9394876750971,26.8330297342285,0.177823263516903,0.324005334659494,"0.66175234317779597",38.690705,15.61683,5.26315789473684,26.3157894736842,81.0526315789474,"Q2","Q3",0.661752343177796,"Q2"
"36","010309",36,17,108,323,451,"AMAZONAS","BONGARA","SAN CARLOS",69.1775125209267,46.9578020348999,0.160743986976363,0.348034093956714,"0.61112654209136996",28.9591,4.725558,3.76940133037694,23.9467849223947,71.6186252771619,"Q2","Q4",0.61112654209137,"Q2"
"37","010310",37,28,170,813,1388,"AMAZONAS","BONGARA","SHIPASBAMBA",72.0241280187113,49.3327751635505,0.183596518640718,0.365002151268255,"0.57526540756225597",35.863148,13.36122,2.01729106628242,12.2478386167147,58.5734870317003,"Q2","Q3",0.575265407562256,"Q3"
"38","010311",38,15,144,567,889,"AMAZONAS","BONGARA","VALERA",67.0781137887025,46.3001297374923,0.283827656759598,0.40063511294374,"0.43203639984130898",20.78695,8.484321,1.68728908886389,16.1979752530934,63.7795275590551,"Q3","Q4",0.432036399841309,"Q4"
"39","010312",39,41,336,2040,4607,"AMAZONAS","BONGARA","YAMBRASBAMBA",70.7694211955591,35.1465376871507,0.205088545874904,0.352290052865536,"0.63111209869384799",43.859279,10.94429,0.889950075971348,7.29324940308227,44.280442804428,"Q2","Q2",0.631112098693848,"Q2"
"40","010401",40,228,823,2797,19845,"AMAZONAS","CONDORCANQUI","NIEVA",66.038823611301,33.6606564909424,0.120151872848714,0.294015899367628,"0.63703161478042603",51.406262,34.86494,1.14890400604686,4.14714033761653,14.0942302847065,"Q1","Q1",0.637031614780426,"Q2"
"41","010402",41,99,177,928,9655,"AMAZONAS","CONDORCANQUI","EL CENEPA",70.0470675596351,34.4514069232135,0.0533855444411713,0.222500134398112,"0.73756772279739402",62.912381,60.02361,1.02537545313309,1.83324702226825,9.61160020714656,"Q1","Q1",0.737567722797394,"Q1"
"42","010403",42,79,222,1336,10284,"AMAZONAS","CONDORCANQUI","RIO SANTIAGO",64.3687440521877,33.9559389935136,0.0351535408496569,0.189784605920573,"0.68657582998275801",59.872335,31.38112,0.768183586153248,2.15869311551925,12.9910540645663,"Q1","Q1",0.686575829982758,"Q1"
"43","010501",43,92,491,1236,1699,"AMAZONAS","LUYA","LAMUD",71.7140440017884,52.2388877871116,0.314862331197093,0.485915285368237,"0.33640122413635298",30.951386,5.603407,5.41494997057092,28.8993525603296,72.7486756915833,"Q3","Q3",0.336401224136353,"Q4"
"44","010502",44,76,363,1737,4495,"AMAZONAS","LUYA","CAMPORREDONDO",69.6573903403093,27.9614537773336,0.195783716208529,0.341756562388809,"0.56832396984100297",50.206718,10.98376,1.69076751946607,8.07563959955506,38.642936596218,"Q2","Q1",0.568323969841003,"Q3"
"45","010503",45,15,101,626,1492,"AMAZONAS","LUYA","COCABAMBA",68.5540807516415,23.2856309695538,0.115602685509901,0.254097428970944,"0.73717784881591797",55.979223,35.50347,1.00536193029491,6.76943699731904,41.9571045576408,"Q1","Q1",0.737177848815918,"Q1"
"46","010504",46,31,175,1319,1720,"AMAZONAS","LUYA","COLCAMAR",72.5275349978703,26.6130186760183,0.111302510187136,0.272209258088242,"0.57211393117904696",42.320492,29.24272,1.80232558139535,10.1744186046512,76.6860465116279,"Q1","Q2",0.572113931179047,"Q3"
"47","010505",47,27,191,827,1520,"AMAZONAS","LUYA","CONILA",75.9711015064255,55.1736567639156,0.136899393718524,0.338649206796812,"0.55990517139434803",49.642272,35.13756,1.77631578947368,12.5657894736842,54.4078947368421,"Q2","Q1",0.559905171394348,"Q3"
"48","010506",48,13,147,382,479,"AMAZONAS","LUYA","INGUILPATA",73.7268040565806,55.7606105592765,0.141483798347385,0.349613290216736,"0.60690391063690197",40.196248,16.60086,2.71398747390397,30.6889352818372,79.7494780793319,"Q2","Q2",0.606903910636902,"Q2"
"49","010507",49,13,131,473,757,"AMAZONAS","LUYA","LONGUITA",71.4188250703857,28.676885430485,0.0982405434669649,0.262887743481219,"0.65690612792968806",56.751291,39.73001,1.71730515191546,17.3051519154557,62.4834874504623,"Q1","Q1",0.656906127929688,"Q2"
"50","010508",50,10,143,510,793,"AMAZONAS","LUYA","LONYA CHICO",73.6204384819308,33.8594550865968,0.177809463910165,0.338262271379248,"0.61836206912994396",46.699525,39.43642,1.26103404791929,18.0327868852459,64.312736443884,"Q2","Q2",0.618362069129944,"Q2"
"51","010509",51,91,542,1886,2961,"AMAZONAS","LUYA","LUYA",74.2198028621008,45.5282510958216,0.198399048310772,0.394116515954269,"0.39969778060913103",30.284501,10.04575,3.07328605200946,18.3046268152651,63.6946977372509,"Q3","Q3",0.399697780609131,"Q4"
"52","010510",52,6,44,182,332,"AMAZONAS","LUYA","LUYA VIEJO",78.1612217633711,33.4563663355659,0.12303944844223,0.309417669598129,"0.62878262996673595",54.438368,32.77698,1.80722891566265,13.2530120481928,54.8192771084337,"Q2","Q1",0.628782629966736,"Q2"
"53","010511",53,22,141,434,771,"AMAZONAS","LUYA","MARIA",70.2781116220065,18.0664378212056,0.142268363836809,0.28214384028439,"0.61767315864562999",51.870194,22.63015,2.85343709468223,18.2879377431907,56.2905317769131,"Q1","Q1",0.61767315864563,"Q2"
"54","010512",54,47,510,1596,2444,"AMAZONAS","LUYA","OCALLI",68.4242410659025,29.6108069866503,0.175910425144942,0.327352605941538,"0.58353567123413097",45.39658,3.817944,1.92307692307692,20.8674304418985,65.3027823240589,"Q2","Q2",0.583535671234131,"Q3"
"55","010513",55,39,372,1491,2724,"AMAZONAS","LUYA","OCUMAL",68.9992986536052,38.7089016646991,0.108880752419517,0.285337404934344,"0.68683093786239602",52.242779,16.89763,1.43171806167401,13.6563876651982,54.7356828193833,"Q1","Q1",0.686830937862396,"Q1"
"56","010514",56,43,515,1532,3880,"AMAZONAS","LUYA","PISUQUIA",69.0040953345329,39.7912996062056,0.272641238685287,0.380224972788761,"0.66619664430618297",58.528572,54.72109,1.10824742268041,13.2731958762887,39.4845360824742,"Q2","Q1",0.666196644306183,"Q2"
"57","010515",57,11,126,619,1130,"AMAZONAS","LUYA","PROVIDENCIA",71.148164190763,25.3806917028431,0.0848695911663319,0.251746492122571,"0.67630720138549805",54.733542,29.42918,0.973451327433628,11.1504424778761,54.7787610619469,"Q1","Q1",0.676307201385498,"Q2"
"58","010516",58,12,110,346,520,"AMAZONAS","LUYA","SAN CRISTOBAL",72.9174456527761,44.8457676412904,0.161960505965082,0.331046725290293,"0.53666311502456698",52.75641,32.97493,2.30769230769231,21.1538461538462,66.5384615384615,"Q2","Q1",0.536663115024567,"Q3"
"59","010517",59,7,91,323,588,"AMAZONAS","LUYA","SAN FRANCISCO DEL YESO",69.9127416226191,29.839461866856,0.264454008502596,0.34710701058663,"0.58183962106704701",49.096061,19.26484,1.19047619047619,15.4761904761905,54.9319727891156,"Q2","Q2",0.581839621067047,"Q3"
"60","010518",60,17,162,494,715,"AMAZONAS","LUYA","SAN JERONIMO",72.20127203901,29.2743205436201,0.100265585509482,0.255734785108348,"0.67432069778442405",47.147578,46.58563,2.37762237762238,22.6573426573427,69.0909090909091,"Q1","Q2",0.674320697784424,"Q2"
"61","010519",61,4,91,303,483,"AMAZONAS","LUYA","SAN JUAN DE LOPECANCHA",72.8738173233312,43.7506329003554,0.223612963271047,0.362140008639086,"0.62256532907485995",55.646778,11.25014,0.82815734989648,18.8405797101449,62.7329192546584,"Q2","Q1",0.62256532907486,"Q2"
"62","010520",62,12,130,776,1329,"AMAZONAS","LUYA","SANTA CATALINA",73.3994387619883,20.588533129579,0.134762919655165,0.273459566805263,"0.63748812675476096",60.302966,50.36441,0.90293453724605,9.78179082016554,58.3897667419112,"Q1","Q1",0.637488126754761,"Q2"
"63","010521",63,68,436,1796,2619,"AMAZONAS","LUYA","SANTO TOMAS",69.5313583748753,32.0326911723503,0.109971154725037,0.278360587134059,"0.61691743135452304",46.979229,33.57183,2.59641084383352,16.647575410462,68.5757922871325,"Q1","Q2",0.616917431354523,"Q2"
"64","010522",64,36,199,697,1136,"AMAZONAS","LUYA","TINGO",67.073305903216,38.9186302270868,0.285669976883713,0.40402434276642,"0.49378097057342502",40.0163,11.15524,3.16901408450704,17.5176056338028,61.3556338028169,"Q3","Q2",0.493780970573425,"Q3"
"65","010523",65,23,175,693,978,"AMAZONAS","LUYA","TRITA",76.2653977885211,33.8200224913872,0.174129937043042,0.346581119172036,"0.59336745738983199",50.058289,16.37895,2.35173824130879,17.8936605316973,70.8588957055215,"Q2","Q1",0.593367457389832,"Q3"
"66","010601",66,166,933,2828,3876,"AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS",73.6375722963794,51.8973246450974,0.380753795201613,0.524840742394436,"0.26432490348815901",20.821354,2.983966,4.2827657378741,24.0712074303406,72.9618163054696,"Q4","Q4",0.264324903488159,"Q5"
